rubrica;nivel;pontos_fortes;avancar;formativas;dimensao;subdimensao;arquivo_origem
Rubrica 2 - Exploração;Avançar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Observações de aula, autoavaliações e entrevistas para avaliar práticas pedagógicas dos professores e identificar necessidades formativas

Fomento à Colaboração e Aprendizagem Coletiva

*   Práticas de mentoria entre pares, com atenção especial a professores em início de carreira.

Planejamento e Promoção de Ações de Desenvolvimento Profissional

*   Elementos de um planejamento formativo de qualidade: definição de objetivos, estratégias, cronogramas, previsão de recursos necessários

Acompanhamento e Apoio Individual aos Professores

*   Ferramentas para acompanhar e monitorar o progresso individual dos docentes de forma estruturada.

Monitoramento e Avaliação das Ações Formativas

*   Métodos para monitorar a execução das ações formativas e avaliar seus impactos.
*   Utilização de ferramentas o acompanhamento das ações (como planilhas e softwares)
*   Definição de indicadores para medir a eficácia das formações no desenvolvimento docente e na aprendizagem dos estudantes";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 3 - Liderança Estratégica;Consolidar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Observações de aula, autoavaliações e entrevistas para avaliar práticas pedagógicas dos professores e identificar necessidades formativas

Fomento à Colaboração e Aprendizagem Coletiva

*   Práticas de mentoria entre pares, com atenção especial a professores em início de carreira.

Planejamento e Promoção de Ações de Desenvolvimento Profissional

*   Elementos de um planejamento formativo de qualidade: definição de objetivos, estratégias, cronogramas, previsão de recursos necessários

Acompanhamento e Apoio Individual aos Professores

*   Ferramentas para acompanhar e monitorar o progresso individual dos docentes de forma estruturada.

Monitoramento e Avaliação das Ações Formativas

*   Métodos para monitorar a execução das ações formativas e avaliar seus impactos.
*   Utilização de ferramentas o acompanhamento das ações (como planilhas e softwares)
*   Definição de indicadores para medir a eficácia das formações no desenvolvimento docente e na aprendizagem dos estudantes";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 3 - Liderança Estratégica;Avançar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Abordagens participativas no diagnóstico, promovendo a colaboração entre docentes e comunidade escolar.

Fomento à Colaboração e Aprendizagem Coletiva

*   Criação e fortalecimento de comunidades de prática, grupos de estudo e redes colaborativas entre os professores.
*   Incentivo a práticas pedagógicas inovadoras e à experimentação colaborativa entre os docentes.

Monitoramento e Avaliação das Ações Formativas

*   Envolvimento de professores e comunidade escolar na avaliação e aprimoramento contínuo das formações.

Articulação de Parcerias para Desenvolvimento Profissional

*   Identificação de oportunidades de parceria com universidades, organizações educacionais e redes de ensino (pode incluir exemplos de gestão de parcerias externas para trazer novas perspectivas e recursos para as formações)";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 4 - Transformação Cultural;Consolidar;;;"Diagnóstico das Necessidades Formativas dos Professores

*   Abordagens participativas no diagnóstico, promovendo a colaboração entre docentes e comunidade escolar.

Fomento à Colaboração e Aprendizagem Coletiva

*   Criação e fortalecimento de comunidades de prática, grupos de estudo e redes colaborativas entre os professores.
*   Incentivo a práticas pedagógicas inovadoras e à experimentação colaborativa entre os docentes.

Monitoramento e Avaliação das Ações Formativas

*   Envolvimento de professores e comunidade escolar na avaliação e aprimoramento contínuo das formações.

Articulação de Parcerias para Desenvolvimento Profissional

*   Identificação de oportunidades de parceria com universidades, organizações educacionais e redes de ensino (pode incluir exemplos de gestão de parcerias externas para trazer novas perspectivas e recursos para as formações)";pedag;desenvolvimento;5_Devolutiva_dim_pedag_desenvolvimento.md
Rubrica 1 - Sensibilização;Consolidar;Muito bem! Você já reconhece a importância de garantir a implementação dos processos de ensino e aprendizagem no dia a dia e está no caminho certo para consolidar práticas fundamentais nessa área.;Antes de avançar, é preciso consolidar este nível. Para isso, será necessário fortalecer seus conhecimentos sobre conceitos básicos relacionados à implementação do ensino e práticas que assegurem o funcionamento mínimo das aulas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   O que é a grade horária e o calendário escolar, diretrizes legais e importância na organização da escola?
*   Ferramentas para organizar, ajustar e monitorar cumprimento do calendário e grade horária (pode incluir uso de softwares ou planilhas para monitorar e adaptar horários)

1.  **Monitoramento da frequência e mitigação de ausências:**

*   O que é e qual a importância do monitoramento da frequência dos professores.

**Gerenciamento de recursos:**

*   Como identificar as necessidades básicas de recursos para o funcionamento diário da escola (Mapeamento de materiais, espaços e equipamentos necessários para o ensino no dia a dia para fins da gestão dos recursos)

1.  **Proteção do tempo pedagógico:**

*   O que é o tempo pedagógico e como ele impacta a aprendizagem.
*   Identificação das principais interrupções no tempo pedagógico.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 1 - Sensibilização;Avançar;Parabéns! Você já se sente preparado(a) para organizar a escola de forma a cumprir o calendário escolar e assegurar a realização das aulas conforme o planejado. Além disso, você se sente preparado(a) para atuar em situações emergenciais, organizando espaços, materiais e recursos para atender a demandas imediatas. Seu compromisso com a implementação do ensino demonstra uma base sólida para avançar.;Para avançar, será importante desenvolver maior preparo para processos mais consistentes de monitoramento e planejamento. Isso inclui se preparar para monitorar regularmente a frequência e assiduidade do corpo docente, antecipar soluções para ausências e planejar e distribuir recursos de forma mais eficiente. Também será essencial fortalecer sua capacidade de promover discussões mais frequentes e estruturadas sobre os desafios e sucessos da implementação do ensino, além de trabalhar na proteção do tempo pedagógico. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Como lidar com situações emergenciais que impactam o calendário escolar e a grade horária e planejar para necessidades recorrentes.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Ferramentas básicas para monitorar a frequência dos professores regularmente.
*   Como monitorar, registrar e planejar estratégias de reposição.

1.  **Gerenciamento de recursos:**

*   Planejamento antecipado e alocação de recursos: Como prever demandas e evitar problemas logísticos.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 2 - Exploração;Consolidar;Ótimo trabalho! Você já se sente preparado(a) para planejar e antecipar soluções para problemas recorrentes, criando estratégias para organizar os processos de implementação do ensino;Antes de avançar, será necessário desenvolver maior preparo para lidar com estratégias mais complexas e começar a sistematizar as ações realizadas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Como lidar com situações emergenciais que impactam o calendário escolar e a grade horária e planejar para necessidades recorrentes.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Ferramentas básicas para monitorar a frequência dos professores regularmente.
*   Como monitorar, registrar e planejar estratégias de reposição.

1.  **Gerenciamento de recursos:**

*   Planejamento antecipado e alocação de recursos: Como prever demandas e evitar problemas logísticos.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 2 - Exploração;Avançar;Muito bem! Você já se sente preparado(a) para implementar processos regulares que permitem ajustar a grade horária e o calendário escolar conforme necessário. Você também se sente preparado(a) para monitorar a frequência dos professores, planejar a distribuição de recursos de forma antecipada e promover discussões regulares com os professores sobre problemas e sucessos da implementação do ensino. Além disso, você se percebe capacitado trabalhar de forma ativa na proteção do tempo pedagógico.;Para avançar, será necessário desenvolver maior preparo para assumir um papel de liderança estratégica, envolvendo ativamente sua equipe na tomada de decisões. Isso inclui se preparar para coordenar discussões mais estruturadas com os professores, bem como sistematizar processos de monitoramento e planejamento para garantir maior eficiência na implementação do ensino. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Monitoramento da frequência e mitigação de ausências:**

*   Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
*   Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
*   Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
*   Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
*   Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

1.  **Gerenciamento de recursos:**

*   Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
*   Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.

1.  **Proteção do tempo pedagógico:**

*   Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

1.  **Coordenação de Discussões Estruturadas com Professores:**

*   Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
*   Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 3 - Liderança Estratégica;Consolidar;Parabéns! Você já se sente preparado(a) para liderar os processos de implementação do ensino de maneira estruturada, utilizando estratégias consistentes para assegurar a continuidade das aulas.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Monitoramento da frequência e mitigação de ausências:**

*   Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
*   Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
*   Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
*   Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
*   Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

1.  **Gerenciamento de recursos:**

*   Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
*   Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.

1.  **Proteção do tempo pedagógico:**

*   Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

1.  **Coordenação de Discussões Estruturadas com Professores:**

*   Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
*   Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 3 - Liderança Estratégica;Avançar;Parabéns! Você já se sente preparado(a) para liderar a organização da escola de maneira estratégica, promovendo ajustes na grade horária, gerenciando recursos de forma proativa e garantindo a regularidade das aulas. Você também se sente preparado(a) para implementar processos sistemáticos de monitoramento da frequência e assiduidade do corpo docente, antecipar demandas e soluções e coordenar discussões estruturadas com os professores.;Para avançar, será essencial se preparar para criar uma cultura institucional sustentável, onde a equipe e a comunidade escolar compartilhem responsabilidades pela implementação do ensino. Isso inclui fortalecer seu preparo para engajar professores, estudantes e famílias, promovendo a autonomia da equipe e a colaboração em processos de monitoramento, planejamento e proteção do tempo pedagógico de forma sustentável e inovadora. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

1.  **Gerenciamento de Recursos para Assegurar a Realização das Aulas**

*   Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

1.  **Proteção do tempo pedagógico:**

*   Engajamento da comunidade na preservação do tempo pedagógico como valor institucional.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 4 - Transformação Cultural;Consolidar;Fantástico! Você já se sente preparado(a) para promover uma cultura de colaboração na implementação do ensino, engajando equipe, estudantes e famílias para garantir a implementação do processo de ensino e aprendizagem com qualidade.;Para continuar evoluindo, será importante fortalecer seu preparo para garantir a sustentabilidade dessas práticas, promovendo a capacidade da equipe e o engajamento de toda a comunidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.;"1.  **Cumprimento e ajustes no calendário e grade horária:**

*   Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

1.  **Monitoramento da frequência e mitigação de ausências:**

*   Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

1.  **Gerenciamento de Recursos para Assegurar a Realização das Aulas**

*   Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

1.  **Proteção do tempo pedagógico:**

*   Engajamento da comunidade na preservação do tempo pedagógico como valor institucional.";pedag;implementacao;2_Devolutiva_dim_pedag_implementacao.md
Rubrica 1 - Sensibilização;Consolidar;;;"Coleta e Registro de Dados relacionados ao Fluxo Escolar:

*   Introdução aos conceitos de fluxo, abandono, evasão e distorção idade-série: definição e cálculo.
*   Identificação de dados relevantes para o acompanhamento do fluxo escolar (frequência e nota).
*   Uso inicial de sistemas de registro formal disponibilizados pela rede.

Monitoramento da Frequência e do Fluxo Escolar:

*   Introdução à construção de rotinas para o monitoramento regular da Frequência e do Fluxo Escolar e planejamento de intervenções tempestivas";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 1 - Sensibilização;Avançar;;;"Monitoramento da Frequência e do Fluxo Escolar:

*   Construção de rotinas regulares para monitoramento dos indicadores de fluxo escolar (periodicidade de coleta e análise, responsáveis, ferramentas)

Diagnóstico dos Problemas de Fluxo Escolar:

*   O que compõe um diagnóstico e uso dados quantitativos e qualitativos.
*   Introdução às principais causas externas e internas de abandono e evasão escolar.
*   Cruzamento de dados quantitativos e qualitativos para identificar estudantes e grupos em risco de reprovação, abandono e evasão.

Suporte Psicossocial para Estudantes em Vulnerabilidade:

*   Identificação de situações de vulnerabilidade social e fatores de risco psicossocial.
*   Estrutura e funcionamento da rede de proteção social: saúde, assistência social e segurança.
*   Comunicação intersetorial: como acionar secretarias de educação e serviços externos.
*   Estratégias de busca ativa de estudantes evadidos, em parceria com a rede de proteção social.

Políticas e Programas da Rede para o Fluxo Escolar:

*   Conhecimento dos programas típicos da rede, como classes de aceleração, e o papel da liderança na adaptação ao contexto da escola.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 2 - Exploração;Avançar;;;"Monitoramento da Frequência e do Fluxo Escolar

*   Definição de protocolos para intervenção tempestiva a partir dos dados de frequência, como ligações para as famílias após ausência identificada.

Fortalecimento do Vínculo com a Escola

*   Planejamento de práticas pedagógicas inclusivas e formação continuada da equipe pedagógica para lidar com a diversidade.
*   Desenvolvimento de iniciativas de protagonismo estudantil (por ex., grêmios e atividades que promovam o senso de pertencimento)
*   Estratégias para melhorar o clima escolar: valorização da diversidade e prevenção de bullying e discriminação.

Planejamento de Ações para o Fluxo Escolar

*   Estruturação do plano: definição de objetivos, estratégias, cronograma, responsáveis e indicadores de sucesso.
*   Métodos de facilitação de reuniões colaborativas.
*   Ferramentas de planejamento: planilhas e softwares de gestão de projetos.
*   Planejamento da recomposição das aprendizagens como estratégia de permanência

Monitoramento e Avaliação das Ações Planejadas

*   Ciclos de monitoramento e avaliação contínuos das ações do plano.
*   Liderança em processos de revisão e ajustes no plano de ação.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
Rubrica 3 - Lideranças Estratégicas;Consolidar;;;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar

*   Ferramentas e métodos de diagnóstico e planejamento participativo: reuniões e entrevistas com estudantes, famílias e professores.

Engajamento da Comunidade Escolar e das Famílias

*   Corresponsabilidade, engajamento e comunicação com as famílias: papel das famílias e da comunidade na permanência e conclusão escolas, Planejamento de reuniões regulares com famílias, dinâmicas de engajamento e uso de canais digitais para comunicação contínua.

Cultura de Sustentabilidade e Autonomia

*   Distribuição de lideranças e institucionalização de práticas de monitoramento e intervenção.";pedag;protecao;4_Devolutiva_dim_pedag_protecao.md
