ID;Dimensão;Subdimensão;Rubrica nome;Rubrica numero;Faixa de pontuação (intervalo de pontuação);Pontos fortes;O que fazer para avançar;Necessidades formativas
11;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Exploração – Nível Avançar;2;7-15 (Avançar: 11-15);Muito bem! Você já se sente preparado(a) para implementar processos regulares que permitem ajustar a grade horária e o calendário escolar conforme necessário. Você também se sente preparado(a) para monitorar a frequência dos professores, planejar a distribuição de recursos de forma antecipada e promover discussões regulares com os professores sobre problemas e sucessos da implementação do ensino. Além disso, você se percebe capacitado trabalhar de forma ativa na proteção do tempo pedagógico.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"
Monitoramento da frequência e mitigação de ausências: 
o	Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
o	Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
o	Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
o	Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
o	Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

Gerenciamento de recursos: 
o	Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
o	Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.


Proteção do tempo pedagógico: 
o	Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

Coordenação de Discussões Estruturadas com Professores:
o	Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
o	Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?"
12;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Consolidar;3;16-30 (Consolidar: 16-23);Parabéns! Você já se sente preparado(a) para liderar os processos de implementação do ensino de maneira estruturada, utilizando estratégias consistentes para assegurar a continuidade das aulas.;Antes de avançar, será importante consolidar seu preparo para implementar processos de monitoramento e planejamento sistemáticos, além de fortalecer o envolvimento da equipe.;"Monitoramento da frequência e mitigação de ausências: 
o	Criação de sistemas regulares e sistemáticas de monitoramento da frequência docente.
o	Análise de padrões de ausência dos professores: Identificando e abordando causas frequentes de faltas (exemplo: saúde, clima, etc.).
o	Planejamento estratégico de soluções (dentro da alçada da escola) para minimizar ausências e mitigar seus efeitos
o	Comunicação e articulação: Envolvendo professores e a equipe no planejamento para reduzir impactos das ausências.
o	Acionamento de instâncias superiores: Como reportar faltas recorrentes, demandas por professores ou outras situações que exigem intervenção externa.

Gerenciamento de recursos: 
o	Monitoramento de uso de recursos: Ferramentas para gerenciar e monitorar o uso dos materiais didáticos e espaços escolares.
o	Acionamento de instâncias superiores: Como requisitar materiais, resolver problemas estruturais ou reportar falhas que dependem da rede de ensino.


Proteção do tempo pedagógico: 
o	Como implementar estratégias sistemáticas e regulares para proteger o tempo pedagógico (minimizar interrupções no tempo de ensino)

Coordenação de Discussões Estruturadas com Professores:
o	Como coordenar discussões estruturadas com os professores para identificar problemas e sucessos no processo de implementação do ensino?
o	Como propor e implementar soluções rápidas para os desafios identificados nessas discussões?"
13;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Liderança Estratégica – Nível Avançar;3;16-30 (Avançar: 23-30);Parabéns! Você já se sente preparado(a) para liderar a organização da escola de maneira estratégica, promovendo ajustes na grade horária, gerenciando recursos de forma proativa e garantindo a regularidade das aulas. Você também se sente preparado(a) para implementar processos sistemáticos de monitoramento da frequência e assiduidade do corpo docente, antecipar demandas e soluções e coordenar discussões estruturadas com os professores. ;Para avançar, será essencial se preparar para criar uma cultura institucional sustentável, onde a equipe e a comunidade escolar compartilhem responsabilidades pela implementação do ensino. Isso inclui fortalecer seu preparo para engajar professores, estudantes e famílias, promovendo a autonomia da equipe e a colaboração em processos de monitoramento, planejamento e proteção do tempo pedagógico de forma sustentável e inovadora. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

Monitoramento da frequência e mitigação de ausências: 
o	Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

Gerenciamento de Recursos para Assegurar a Realização das Aulas
o	Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

Proteção do tempo pedagógico: 
Engajamento da comunidade na preservação do tempo pedagógico como valor institucional."
14;Dimensão pedagógica;Implementação do processo de ensino e aprendizagem;Transformação Cultural – Nível Consolidar;4;31-36 (Consolidar: 31-36);Fantástico! Você já se sente preparado(a) para promover uma cultura de colaboração na implementação do ensino, engajando equipe, estudantes e famílias para garantir a implementação do processo de ensino e aprendizagem com qualidade. ;Para continuar evoluindo, será importante fortalecer seu preparo para garantir a sustentabilidade dessas práticas, promovendo a capacidade da equipe e o engajamento de toda a comunidade. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Cumprimento e ajustes no calendário e grade horária: 
o	Comunicação e envolvimento da comunidade escolar na (re)organização e monitoramento do tempo escolar.

Monitoramento da frequência e mitigação de ausências: 
o	Desenvolvimento de estratégias colaborativas para monitoramento e mitigação de ausências dos professores.

Gerenciamento de Recursos para Assegurar a Realização das Aulas
o	Como engajar a equipe e a comunidade na gestão compartilhada e sustentável dos recursos (ex.: rodízios para espaços).

Proteção do tempo pedagógico: 
o	Engajamento da comunidade na preservação do tempo pedagógico como valor institucional."
15;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Sensibilização – Nível Consolidar;1;0-9 (Consolidar: 0-5);Você está construindo a base necessária para garantir o uso dos dados avaliativos como ferramentas importantes na gestão para aprendizagem!;Para consolidar este nível, você pode fortalecer o registro sistemático dos dados e começar a explorar como usá-los em discussões com a equipe escolar. Também será importante refletir mais sobre como as avaliações podem ser melhor conectadas ao planejamento pedagógico, incluindo o planejamento das ações de recomposição das aprendizagens. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Conceitos Fundamentais de Avaliação:
o	Diferenças entre avaliação externa e interna; somativa e formativa.
o	Potencial das avaliações para subsidiar o planejamento pedagógico, incluindo estratégias de recomposição das aprendizagens.

2.	Ciclo de uso dos dados de avaliação da aprendizagem:
o	Compreensão inicial das etapas de planejamento, aplicação, registro e organização de dados de avaliação de aprendizagem."
16;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Sensibilização – Nível Avançar;1;0-9 (Avançar: 6-9);Muito bem! Você já se sente preparado para garantir a realização de avaliações externas e internas, assegurando que essas práticas ocorram conforme o planejado. Além disso, percebe-se capacitado para assegurar o registro dos resultados, criando as condições iniciais para seu uso no planejamento escolar. ;Neste momento, você utiliza as informações avaliativas de forma ainda reativa e pontual, com foco principalmente somativo, para atender demandas administrativas. Para avançar, será importante explorar como esses dados podem ser melhor integrados ao planejamento pedagógico, incluindo as ações de recomposição das aprendizagens, superando uma abordagem desvinculada e reativa, bem como priorizando também a reflexão e discussão sobre avaliações internas de caráter mais formativo. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.Leitura e Interpretação Básica de Dados (competência analítica):
o	Capacitação inicial em leitura de relatórios de avaliação.

2. Aprofundamento em Avaliação Formativa:
o	Maior aprofundamento conceitual em avaliação formativa

3.	Sensibilização da Equipe Escolar: 
o	Estratégias para promover o uso das avaliações como meio para aprendizagem (combate ao uso da avaliação como controle, recompensa ou punição) "
17;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Exploração – Nível Consolidar;2;10-27 (Consolidar: 10-19);Você se sente preparado(a) para explorar práticas importantes, como divulgar os resultados das avaliações e incentivar ajustes no planejamento pedagógico!;Para consolidar este nível, será importante fortalecer suas práticas de mediação, promovendo discussões mais estruturadas com a equipe escolar e incentivando o uso dos dados para identificar áreas prioritárias de intervenção, incluindo ações de recomposição das aprendizagens. Além disso, você pode começar a sensibilizar sua equipe para o maior uso de práticas avaliativas formativas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.Leitura e Interpretação Básica de Dados (competência analítica):
o	Capacitação inicial em leitura de relatórios de avaliação.

2. Aprofundamento em Avaliação Formativa:
o	Maior aprofundamento conceitual em avaliação formativa

3. Promovendo Discussões Pedagógicas:
o	Estruturar reuniões com professores baseadas em dados de avaliação de aprendizagem para planejamento. 

4. Sensibilização da Equipe Escolar: 
o	Estratégias para promover o uso das avaliações como meio para aprendizagem (combate ao uso da avaliação como controle, recompensa ou punição) "
18;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Exploração – Nível Avançar;2;10-27 (Avançar: 20-27);Muito bem! Você se sente preparado(a) para atuar de forma ativa na mediação do uso dos dados avaliativos, promovendo discussões estruturadas com a equipe escolar e conectando os resultados a ajustes básicos no planejamento pedagógico. Já se percebe capacitado(a) para divulgar os resultados das avaliações externas, relacionando-os às metas da secretaria, e utilizar os dados para identificar prioridades pedagógicas gerais para a escola. Além disso, você se avalia apto(a) a incentivar práticas de avaliação formativa e sensibilizar a equipe sobre o propósito das avaliações como ferramentas de melhoria da aprendizagem, evitando seu uso como punição ou recompensa.;Para avançar, será essencial desenvolver práticas mais sistemáticas e aprofundar a integração entre as avaliações (somativas e formativas, internas e externas) e o planejamento pedagógico. Apoiar a equipe na experimentação de estratégias pedagógicas de diferenciação do ensino e de recomposição das aprendizagens também pode contribuir para uma abordagem mais intencional e equitativa na melhoria da aprendizagem. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"
1. Integração dos diversos tipos de avaliações ao Planejamento Pedagógico:
o	Uso integrado de avaliações internas e externas, somativas e formativas, para estabelecer metas internas e fazer planejamento pedagógico. 

2.	Diversificação de fontes de dados
o	Combinar dados de avaliações externas, internas e observações de sala de aula para identificar de padrões de ensino e aprendizagem e enriquecer os diagnósticos.

3.	Estratégias Pedagógicas de diferenciação do ensino e de recomposição das aprendizagens:
o	Planejamento e implementação de práticas pedagógicas de diferenciação do ensino e recomposição de aprendizagens com base em dados de avaliação."
19;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Liderança Estratégica – Nível Consolidar;3;28-42 (Consolidar: 28-36);Parabéns! Você já se sente preparado(a) para liderar o uso sistemático dos dados avaliativos, integrando avaliações externas e internas ao planejamento pedagógico e conectando essas práticas às metas internas da escola. Já se percebe capacitado(a) para facilitar a triangulação de diferentes fontes de dados, como avaliações e observações de sala de aula, para identificar padrões de ensino e aprendizagem. Também se avalia capaz de orientar a equipe na proposição de estratégias pedagógicas diferenciadas, ajustadas às necessidades específicas de cada grupo de estudantes, incluindo estratégias de recomposição das aprendizagens, e promover a equidade e o fortalecimento do currículo escolar.;Embora suas práticas já sejam sistemáticas, você pode avançar ao consolidar processos sustentáveis e inovadores e fomentar uma maior autonomia da equipe na análise e no uso de dados. Promover maior inovação e expandir a colaboração para envolver toda a comunidade escolar no uso dos dados são passos importantes para alcançar uma transformação cultural. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"1.	Sustentabilidade e Inovação:
o	Sustentação de mecanismos colaborativos de monitoramento e ajuste contínuos para fomento de uma cultura de melhoria contínua no longo prazo
o	Distribuição da liderança e fortalecimento da corresponsabilidade dos professores na análise e uso de dados avaliativos

2.	Mobilização da Comunidade Escolar:
o	Papel da avaliação na relação com as famílias
o	Estratégias para engajar professores, estudantes e famílias no acompanhamento dos resultados e fomentar uma cultura de colaboração e melhoria contínua.
o	Sensibilização da comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes (recomposição de aprendizagens).

3.	Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente 
o	Uso de dados de aprendizagem para identificar necessidades de formação, promover ciclos de reflexão e alavancar a qualidade da educação. "
20;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Liderança Estratégica – Nível Avançar;3;28-42 (Avançar: 37-42);Parabéns! Você já se sente preparado(a) para liderar o uso sistemático dos dados avaliativos, integrando avaliações externas e internas ao planejamento pedagógico e conectando essas práticas às metas internas da escola. Já se percebe capacitado(a) para facilitar a triangulação de diferentes fontes de dados, como avaliações e observações de sala de aula, para identificar padrões de ensino e aprendizagem. Também se avalia capaz de orientar a equipe na proposição de estratégias pedagógicas diferenciadas, ajustadas às necessidades específicas de cada grupo de estudantes, incluindo estratégias de recomposição das aprendizagens, e promover a equidade e o fortalecimento do currículo escolar.;Você já demonstra um forte compromisso com a colaboração e a mobilização da comunidade escolar no uso de dados avaliativos. Para consolidar este nível, será importante estruturar sistemas que garantam a regularidade no monitoramento e na avaliação das intervenções. Também será necessário fortalecer as práticas de formação docente baseadas em dados, promovendo ciclos continuados de reflexão e aprendizado colaborativo. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"o	Sustentabilidade e Inovação:
o	Sustentação de mecanismos colaborativos de monitoramento e ajuste contínuos para fomento de uma cultura de melhoria contínua no longo prazo
o	Distribuição da liderança e fortalecimento da corresponsabilidade dos professores na análise e uso de dados avaliativos

o	Mobilização da Comunidade Escolar:
o	Papel da avaliação na relação com as famílias
o	Estratégias para engajar professores, estudantes e famílias no acompanhamento dos resultados e fomentar uma cultura de colaboração e melhoria contínua.
o	Sensibilização da comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes (recomposição de aprendizagens).

o	Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente 
o	Uso de dados de aprendizagem para identificar necessidades de formação, promover ciclos de reflexão e alavancar a qualidade da educação. "
21;Dimensão pedagógica;Monitoramento e Avaliação da Aprendizagem;Transformação Cultural – Nível Consolidar;4;42-48 (Consolidar: 42-48);Parabéns! Você se sente preparado(a) para promover uma cultura escolar em que o uso de dados avaliativos é integrado e colaborativo. Já se percebe capaz de mobilizar professores, estudantes e famílias em reflexões contínuas e na tomada de decisões pedagógicas. Você já se percebe preparado para garantir estratégias diferenciadas de ensino que atendam às necessidades de grupos de estudantes em diferentes níveis de aprendizagem, incluindo ações e de recomposição de aprendizagens, promovendo equidade e impacto. Você também se percebe capacitado para sustentar essas práticas, identificando áreas de desenvolvimento docente e promovendo ciclos de formação continuada.;Você já demonstra um forte compromisso com a colaboração e a mobilização da comunidade escolar no uso de dados avaliativos. Para consolidar este nível, será importante estruturar sistemas que garantam a regularidade no monitoramento e na avaliação das intervenções. Também será necessário fortalecer as práticas de formação docente baseadas em dados, promovendo ciclos continuados de reflexão e aprendizado colaborativo. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"o	Sustentabilidade e Inovação:
o	Sustentação de mecanismos colaborativos de monitoramento e ajuste contínuos para fomento de uma cultura de melhoria contínua no longo prazo
o	Distribuição da liderança e fortalecimento da corresponsabilidade dos professores na análise e uso de dados avaliativos

o	Mobilização da Comunidade Escolar:
o	Papel da avaliação na relação com as famílias
o	Estratégias para engajar professores, estudantes e famílias no acompanhamento dos resultados e fomentar uma cultura de colaboração e melhoria contínua.
o	Sensibilização da comunidade sobre a necessidade de abordar defasagens de anos anteriores sem estigmatizar os estudantes (recomposição de aprendizagens).

o	Avaliação da aprendizagem para promover a mudança de práticas: Desenvolvimento Profissional Docente 
o	Uso de dados de aprendizagem para identificar necessidades de formação, promover ciclos de reflexão e alavancar a qualidade da educação. "
22;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Sensibilização – Nível Consolidar;1;0-6 (Consolidar: 0-3);Parabéns! Você já reconhece a importância de usar dados relacionados a frequência, abandono e reprovação para tomar decisões e se sente preparado(a) parar realiza sua coleta de forma a atender as demandas administrativas. Este é um passo inicial essencial para a gestão do fluxo escolar.;Para consolidar este nível, é necessário fortalecer seu preparo para realizar registros regulares e organizados desses dados. Além disso, será importante consolidar o uso desses dados para tomar decisões, ainda que pontuais, para apoiar estudantes em risco de reprovação ou abandono. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Coleta e Registro de Dados relacionados ao Fluxo Escolar:
o	Introdução aos conceitos de fluxo, abandono, evasão e distorção idade-série: definição e cálculo.
o	Identificação de dados relevantes para o acompanhamento do fluxo escolar (frequência e nota).
o	Uso inicial de sistemas de registro formal disponibilizados pela rede.

Monitoramento da Frequência e do Fluxo Escolar:
o	Introdução à construção de rotinas para o monitoramento regular da Frequência e do Fluxo Escolar e planejamento de intervenções tempestivas"
23;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Sensibilização – Nível Avançar;1;0-6 (Avançar: 4-6);Parabéns! Você já se sente preparado(a) para registrar dados de frequência, abandono e reprovação, utilizá-los para atender demandas administrativas e realizar ações pontuais (por exemplo, reposição de aulas ou atividades de recuperação ao final do ano para evitar a reprovação de alunos por frequência e nota). ;Para avançar, será essencial se preparar para implementar rotinas mais regulares de monitoramento, que permitam identificar problemas de fluxo escolar ao longo do ano e agir de forma mais tempestiva. Também será importante começar a realizar diagnósticos do problema e suas causas para planejar intervenções mais estruturadas, tais como a articulação com a rede de proteção social e programas da própria rede educativa para apoiar estudantes em risco de abandono e/ou reprovação. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Monitoramento da Frequência e do Fluxo Escolar:
o	Construção de rotinas regulares para monitoramento dos indicadores de fluxo escolar (periodicidade de coleta e análise, responsáveis, ferramentas)

Diagnóstico dos Problemas de Fluxo Escolar:
o	O que compõe um diagnóstico e uso dados quantitativos e qualitativos.
o	Introdução às principais causas externas e internas de abandono e evasão escolar.
o	Cruzamento de dados quantitativos e qualitativos para identificar estudantes e grupos em risco de reprovação, abandono e evasão.

Suporte Psicossocial para Estudantes em Vulnerabilidade:
o	Identificação de situações de vulnerabilidade social e fatores de risco psicossocial.
o	Estrutura e funcionamento da rede de proteção social: saúde, assistência social e segurança.
o	Comunicação intersetorial: como acionar secretarias de educação e serviços externos.
o	Estratégias de busca ativa de estudantes evadidos, em parceria com a rede de proteção social.

Políticas e Programas da Rede para o Fluxo Escolar:
o	Conhecimento dos programas típicos da rede, como classes de aceleração, e o papel da liderança na adaptação ao contexto da escola."
24;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Exploração – Nível Consolidar;2;7-21 (Consolidar: 7-14);Parabéns! Você já se sente preparado(a) para começar a implementar rotinas regulares de monitoramento e a realizar diagnósticos do problema e suas causas para planejar intervenções mais tempestivas.;Para consolidar este nível, é necessário fortalecer rotinas regulares de monitoramento, com periodicidade definida e uso de ferramentas adequadas. Também é essencial aprimorar o preparo para planejar intervenções mais tempestivas, permitindo ações ao final de cada bimestre ou trimestre letivo, por exemplo, em vez de apenas no final do ano. Além disso, é fundamental avançar na elaboração de diagnósticos que integrem dados quantitativos e qualitativos, identificando padrões de problemas e suas causas. Isso possibilitará o planejamento de intervenções mais estruturadas, como a articulação com a rede de proteção social e programas da rede para apoiar estudantes em situação de risco. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Monitoramento da Frequência e do Fluxo Escolar:
o	Construção de rotinas regulares para monitoramento dos indicadores de fluxo escolar (periodicidade de coleta e análise, responsáveis, ferramentas)

Diagnóstico dos Problemas de Fluxo Escolar:
o	O que compõe um diagnóstico e uso dados quantitativos e qualitativos.
o	Introdução às principais causas externas e internas de abandono e evasão escolar.
o	Cruzamento de dados quantitativos e qualitativos para identificar estudantes e grupos em risco de reprovação, abandono e evasão.

Suporte Psicossocial para Estudantes em Vulnerabilidade:
o	Identificação de situações de vulnerabilidade social e fatores de risco psicossocial.
o	Estrutura e funcionamento da rede de proteção social: saúde, assistência social e segurança.
o	Comunicação intersetorial: como acionar secretarias de educação e serviços externos.
o	Estratégias de busca ativa de estudantes evadidos, em parceria com a rede de proteção social.

Políticas e Programas da Rede para o Fluxo Escolar:
o	Conhecimento dos programas típicos da rede, como classes de aceleração, e o papel da liderança na adaptação ao contexto da escola."
25;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Exploração – Nível Avançar;2;7-21 (Avançar: 15-21);Parabéns! Você já se sente preparado(a) para organizar rotinas regulares de monitoramento, planejar intervenções tempestivas ao longo do ano e realizar diagnósticos iniciais que identificam padrões de problemas e suas causas. Você também se percebe preparado(a) para articular ações com a rede de proteção social e programas da rede para apoiar estudantes em situação de vulnerabilidade.;Para avançar, será essencial integrar os diagnósticos ao planejamento escolar de forma sistemática, abordando tanto as causas internas quanto externas dos problemas de fluxo. Também será necessário fortalecer seu preparo para implementar ações alinhadas aos diagnósticos, inclusive para as causas internas, como estratégias para melhorar o vínculo dos estudantes com a escola, entre elas a promoção de práticas pedagógicas mais inclusivas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Monitoramento da Frequência e do Fluxo Escolar
o	Definição de protocolos para intervenção tempestiva a partir dos dados de frequência, como ligações para as famílias após ausência identificada.

Fortalecimento do Vínculo com a Escola
o	Planejamento de práticas pedagógicas inclusivas e formação continuada da equipe pedagógica para lidar com a diversidade.
o	Desenvolvimento de iniciativas de protagonismo estudantil (por ex., grêmios e atividades que promovam o senso de pertencimento)
o	Estratégias para melhorar o clima escolar: valorização da diversidade e prevenção de bullying e discriminação.

 Planejamento de Ações para o Fluxo Escolar
o	Estruturação do plano: definição de objetivos, estratégias, cronograma, responsáveis e indicadores de sucesso.
o	Métodos de facilitação de reuniões colaborativas.
o	Ferramentas de planejamento: planilhas e softwares de gestão de projetos.
o	Planejamento da recomposição das aprendizagens como estratégia de permanência

Monitoramento e Avaliação das Ações Planejadas
o	Ciclos de monitoramento e avaliação contínuos das ações do plano.
o	Liderança em processos de revisão e ajustes no plano de ação."
26;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Liderança Estratégica – Nível Consolidar;3;22-39 (Consolidar: 22-31);Parabéns! Você já se sente preparado(a) para começar a lidar com os problemas de fluxo de forma mais sistemática, identificando e abordando consistentemente também as causas internas e implementando rotinas de monitoramento, avaliação e revisão das ações de maneira estruturada.;Para consolidar este nível, será necessário fortalecer seu preparo para construir um plano estratégico integrado ao PPP e ao planejamento pedagógico, além de consolidar sua capacidade de liderar diagnósticos estruturados que considerem causas internas e externas. Também será preciso se preparar para implementar rotinas de monitoramento frequentes (diárias ou semanais) para identificar rapidamente estudantes com faltas ou dificuldades acadêmicas e realizar intervenções imediatas. Adicionalmente, precisará investir mais na capacitação para executar ações que promovam o vínculo dos estudantes com a escola, como práticas pedagógicas inclusivas, projetos de protagonismo estudantil e estratégias para melhorar o clima escolar. Por fim, será importante consolidar práticas de monitoramento, avaliação e revisão contínua das ações implementadas. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Monitoramento da Frequência e do Fluxo Escolar
o	Definição de protocolos para intervenção tempestiva a partir dos dados de frequência, como ligações para as famílias após ausência identificada.

Fortalecimento do Vínculo com a Escola
o	Planejamento de práticas pedagógicas inclusivas e formação continuada da equipe pedagógica para lidar com a diversidade.
o	Desenvolvimento de iniciativas de protagonismo estudantil (por ex., grêmios e atividades que promovam o senso de pertencimento)
o	Estratégias para melhorar o clima escolar: valorização da diversidade e prevenção de bullying e discriminação.

 Planejamento de Ações para o Fluxo Escolar
o	Estruturação do plano: definição de objetivos, estratégias, cronograma, responsáveis e indicadores de sucesso.
o	Métodos de facilitação de reuniões colaborativas.
o	Ferramentas de planejamento: planilhas e softwares de gestão de projetos.
o	Planejamento da recomposição das aprendizagens como estratégia de permanência


Monitoramento e Avaliação das Ações Planejadas
o	Ciclos de monitoramento e avaliação contínuos das ações do plano.
o	Liderança em processos de revisão e ajustes no plano de ação."
27;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Liderança Estratégica – Nível Avançar;3;22-39 (Avançar: 32-39);Muito bem! Você já se sente preparado(a) para liderar a construção de planos estratégicos integrados ao PPP e ao planejamento pedagógico, implementar rotinas frequentes de monitoramento, realizar diagnósticos estruturados que abordam causas internas e externas e planejar ações sistemáticas, como práticas pedagógicas inclusivas, projetos de protagonismo estudantil e estratégias para melhorar o clima escolar.;Para avançar, será necessário se preparar para promover uma cultura colaborativa e sustentável, onde as responsabilidades pelo fluxo escolar sejam amplamente compartilhadas entre a equipe, os estudantes e as famílias. Também será importante fortalecer processos de autonomia e sustentabilidade para garantir que a gestão do fluxo escolar dependa menos de sua atuação direta. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar 
o	Ferramentas e métodos de diagnóstico e planejamento participativo: reuniões e entrevistas com estudantes, famílias e professores.

Engajamento da Comunidade Escolar e das Famílias
o	Corresponsabilidade, engajamento e comunicação com as famílias: papel das famílias e da comunidade na permanência e conclusão escolas, Planejamento de reuniões regulares com famílias, dinâmicas de engajamento e uso de canais digitais para comunicação contínua.

Cultura de Sustentabilidade e Autonomia
o	Distribuição de lideranças e institucionalização de práticas de monitoramento e intervenção."
28;Dimensão pedagógica;Proteção das Trajetórias Estudantis - promoção da permanência e conclusão;Transformação Cultural – Nível Consolidar;4;40-45 (Consolidar: 40-45);Parabéns! Você já se sente preparado(a) para promover uma cultura institucional colaborativa e sustentável, onde a responsabilidade pelo fluxo escolar é amplamente compartilhada.;Para consolidar este nível, será necessário fortalecer seu preparo para promover uma cultura escolar em que a gestão do fluxo seja sustentada por processos permanentes e colaborativos, com responsabilidades amplamente compartilhadas entre a equipe escolar, estudantes e famílias. Será preciso consolidar a capacidade de estruturar rotinas de monitoramento e intervenções contínuas e tempestivas, garantindo que essas práticas sejam incorporadas como valores institucionais, menos dependentes de sua liderança direta. Veja a seguir algumas indicações de objetos educacionais e recursos de aprendizagem que podem apoiá-lo nessa tarefa.  ;"Diagnóstico e Planejamento de Ações para o Fluxo Escolar 
o	Ferramentas e métodos de diagnóstico e planejamento participativo: reuniões e entrevistas com estudantes, famílias e professores.

Engajamento da Comunidade Escolar e das Famílias
o	Corresponsabilidade, engajamento e comunicação com as famílias: papel das famílias e da comunidade na permanência e conclusão escolas, Planejamento de reuniões regulares com famílias, dinâmicas de engajamento e uso de canais digitais para comunicação contínua.

Cultura de Sustentabilidade e Autonomia
o	Distribuição de lideranças e institucionalização de práticas de monitoramento e intervenção."
